Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional Precision,Functional Recall,Functional F1-Score,Functional Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,TRUE,FALSE,5000,1.1,TRUE,FALSE,0.001,97.71287993,0.945139049,0.858911076,0.88714339,0.966561944,0.990521678,0.978379027,527.5,0.85,0.516666667,0.607380952,3.3,0.998255814,0.998833809,0.998542274,171.7,0.999264706,0.999260626,0.999260625,270.6,0.858925745,0.67522449,0.754239487,49.9,0.997826087,0.972959184,0.985057976,48.2
TRUE,TRUE,FALSE,5000,1.1,FALSE,TRUE,0.001,97.61021573,0.936524806,0.845876296,0.87681817,0.962713919,0.992417774,0.977327736,527.5,0.775,0.458333333,0.549047619,3.3,0.995946373,0.994169047,0.995040094,171.7,0.999261993,0.998152248,0.99870541,270.6,0.886226551,0.66122449,0.755685861,49.9,1,0.970960884,0.985102302,48.2
TRUE,TRUE,FALSE,5000,1.2,FALSE,FALSE,0.001,97.77823941,0.924610379,0.869858165,0.887052788,0.968342884,0.989954215,0.979004569,527.5,0.708333333,0.566666667,0.591190476,3.3,0.995963494,0.998833809,0.997387866,171.7,0.999632353,0.999260626,0.999445466,270.6,0.877431029,0.68522449,0.766936594,49.9,0.997959184,0.979209184,0.988351756,48.2
TRUE,TRUE,FALSE,5000,1.2,TRUE,FALSE,0.001,97.73157148,0.938555869,0.873968383,0.895388042,0.967254288,0.989574708,0.978270575,527.5,0.81,0.6,0.651666667,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.856194156,0.685265306,0.759323595,49.9,1,0.97087585,0.985080373,48.2
TRUE,TRUE,FALSE,5000,1.2,FALSE,TRUE,0.001,97.68488614,0.94484185,0.872466313,0.896598311,0.965314817,0.990710353,0.977830972,527.5,0.835,0.608333333,0.665714286,3.3,0.997122924,0.999418605,0.998260811,171.7,0.999263349,0.998153615,0.99870541,270.6,0.874523923,0.667306122,0.755073042,49.9,0.997826087,0.97087585,0.984005345,48.2
TRUE,TRUE,FALSE,5000,1.3,FALSE,FALSE,0.001,97.72222571,0.916595457,0.865365202,0.8817852,0.968677197,0.988246435,0.978320473,527.5,0.668333333,0.533333333,0.55952381,3.3,0.996528354,0.998833809,0.997674384,171.7,0.998899752,0.999260626,0.999077819,270.6,0.869174922,0.69122449,0.766664811,49.9,0.997959184,0.981292517,0.989449902,48.2
TRUE,TRUE,FALSE,5000,1.3,TRUE,FALSE,0.001,97.61021573,0.936588449,0.867310375,0.888574086,0.965781962,0.98862666,0.977052992,527.5,0.81,0.575,0.625,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999264706,0.999260626,0.999260625,270.6,0.848355912,0.671265306,0.747538505,49.9,0.99787234,0.97087585,0.984050137,48.2
TRUE,TRUE,FALSE,5000,1.3,FALSE,TRUE,0.001,97.68487743,0.943165721,0.872784127,0.896279801,0.965837431,0.990331565,0.977916892,527.5,0.835,0.608333333,0.665714286,3.3,0.998259175,0.999418605,0.998835509,171.7,0.999263349,0.998522619,0.998890253,270.6,0.862808286,0.671306122,0.753391548,49.9,0.997826087,0.968792517,0.982930317,48.2
TRUE,TRUE,TRUE,1000,1.1,FALSE,FALSE,0.001,97.44219205,0.904800219,0.865573833,0.879711924,0.9701132,0.981991044,0.97597865,527.5,0.675,0.533333333,0.577380952,3.3,0.994814146,0.998833809,0.996809855,171.7,0.997808804,0.998890256,0.998342494,270.6,0.801276156,0.699102041,0.744368221,49.9,0.989789007,0.981292517,0.985391372,48.2
TRUE,TRUE,TRUE,1000,1.1,TRUE,FALSE,0.001,97.50751669,0.922476851,0.855927943,0.877150356,0.966962255,0.986163461,0.976455127,527.5,0.756666667,0.5,0.563333333,3.3,0.998249014,0.998249014,0.998247319,171.7,0.998897059,0.999260626,0.999076463,270.6,0.818435995,0.685142857,0.744895708,49.9,0.995650118,0.966751701,0.980894186,48.2 
TRUE,TRUE,TRUE,1000,1.1,FALSE,TRUE,0.001,97.47950548,0.929123991,0.871023323,0.889544968,0.966051976,0.986353933,0.976088984,527.5,0.791666667,0.6,0.640714286,3.3,0.996534649,0.997082823,0.996797941,171.7,0.998894336,0.998890256,0.998890934,270.6,0.82159632,0.681142857,0.743975727,49.9,1,0.962670068,0.980801935,48.2
TRUE,TRUE,TRUE,1000,1.2,FALSE,FALSE,0.001,97.5075254,0.915923668,0.85889224,0.876701672,0.965233473,0.987490297,0.976209655,527.5,0.7,0.533333333,0.566666667,3.3,0.996528354,0.998833809,0.997674384,171.7,0.999264706,0.999260626,0.999261304,270.6,0.836556294,0.653142857,0.730948118,49.9,0.997959184,0.981292517,0.989449902,48.2
TRUE,TRUE,TRUE,1000,1.2,TRUE,FALSE,0.001,97.37684999,0.927090484,0.86790571,0.889713166,0.964608141,0.985404448,0.974878808,527.5,0.8,0.6,0.663095238,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999264706,0.999260626,0.999260625,270.6,0.802588193,0.655142857,0.719571747,49.9,0.997826087,0.968792517,0.982930317,48.2
TRUE,TRUE,TRUE,1000,1.2,FALSE,TRUE,0.001,97.37678031,0.931029072,0.868137214,0.88940998,0.964265549,0.986162383,0.975074906,527.5,0.816666667,0.608333333,0.663095238,3.3,0.997122924,0.999418605,0.998260811,171.7,0.999261983,0.998890256,0.999075096,270.6,0.810984966,0.645142857,0.716903691,49.9,0.99787234,0.97087585,0.984050137,48.2   
TRUE,TRUE,TRUE,1000,1.3,FALSE,FALSE,0.001,97.47011616,0.889362843,0.859156933,0.865809102,0.96677205,0.985782157,0.976158807,527.5,0.555,0.525,0.500793651,3.3,0.997106349,0.998833809,0.997964225,171.7,0.999263349,0.998890256,0.999075095,270.6,0.824162967,0.665142857,0.733453055,49.9,0.99387234,0.981292517,0.987409779,48.2  
TRUE,TRUE,TRUE,1000,1.3,TRUE,FALSE,0.001,97.41418956,0.916978047,0.851775899,0.874892182,0.965366615,0.986542249,0.975823219,527.5,0.741666667,0.5,0.574047619,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.807418752,0.655142857,0.721545572,49.9,0.989529478,0.97087585,0.979949635,48.2
TRUE,TRUE,TRUE,1000,1.3,FALSE,TRUE,0.001,97.43282885,0.930080246,0.858835936,0.882194303,0.965202337,0.986730565,0.975825864,527.5,0.808333333,0.541666667,0.614047619,3.3,0.997687784,0.999418605,0.99854733,171.7,0.99962963,0.998890256,0.999259258,270.6,0.818054115,0.649183673,0.721256033,49.9,0.991574278,0.97712585,0.984229714,48.2
TRUE,TRUE,TRUE,5000,1.1,FALSE,FALSE,0.001,97.57353812,0.944273286,0.917829102,0.926073209,0.966573557,0.98673344,0.976546062,527.5,0.875,0.875,0.857142857,3.5,1,0.997093023,0.998542274,172,0.998161765,0.998148148,0.998151546,270.5,0.825904393,0.65,0.726056514,50,1,1,1,48
TRUE,TRUE,TRUE,5000,1.1,TRUE,FALSE,0.001,97.58220452,0.942651565,0.852924295,0.88036644,0.966134076,0.988058479,0.976952716,527.5,0.86,0.483333333,0.577380952,3.3,0.998255814,0.998833809,0.998542274,171.7,0.998897059,0.999260626,0.999076463,270.6,0.832622439,0.677183673,0.745233774,49.9,1,0.97087585,0.985012461,48.2
TRUE,TRUE,TRUE,5000,1.1,FALSE,TRUE,0.001,97.41416343,0.926801403,0.837984582,0.86598677,0.962246599,0.989195561,0.97552101,527.5,0.76,0.425,0.508333333,3.3,0.996511233,0.995335237,0.995911413,171.7,0.998894336,0.998521252,0.998706091,270.6,0.843156248,0.655102041,0.735549654,49.9,1,0.964753401,0.981899118,48.2
TRUE,TRUE,TRUE,5000,1.2,FALSE,FALSE,0.001,97.73157148,0.920380462,0.875841392,0.890733326,0.969044588,0.988436907,0.978611062,527.5,0.701666667,0.6,0.62,3.3,0.995963494,0.998833809,0.997387866,171.7,0.999632353,0.999260626,0.999445466,270.6,0.860144146,0.68722449,0.760535893,49.9,0.995831524,0.981292517,0.988419667,48.2
TRUE,TRUE,TRUE,5000,1.2,TRUE,FALSE,0.001,97.65688365,0.940477325,0.873701773,0.895948069,0.966879266,0.988056682,0.977325966,527.5,0.835,0.6,0.662380952,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.843097915,0.68722449,0.753988883,49.9,1,0.968835034,0.984005571,48.2
TRUE,TRUE,TRUE,5000,1.2,FALSE,TRUE,0.001,97.56353039,0.940218174,0.867314222,0.890183582,0.965416303,0.988247872,0.976682571,527.5,0.835,0.575,0.635714286,3.3,0.996544889,0.998837209,0.997679411,171.7,0.999261983,0.997783244,0.998519883,270.6,0.847259782,0.67522449,0.749598144,49.9,0.997826087,0.968792517,0.982907198,48.2
TRUE,TRUE,TRUE,5000,1.3,FALSE,FALSE,0.001,97.72225184,0.912052499,0.871757126,0.884941462,0.969421146,0.987677534,0.978414282,527.5,0.651666667,0.566666667,0.58,3.3,0.996528354,0.998833809,0.997674384,171.7,0.999267399,0.998890256,0.999076453,270.6,0.857514764,0.699265306,0.766086157,49.9,0.997916667,0.979209184,0.988397497,48.2
TRUE,TRUE,TRUE,5000,1.3,TRUE,FALSE,0.001,97.59154159,0.938279006,0.869331704,0.890467307,0.967021291,0.986919599,0.976839549,527.5,0.835,0.575,0.635714286,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999264706,0.999260626,0.999260625,270.6,0.832259926,0.68922449,0.750569935,49.9,0.99787234,0.966751701,0.981877189,48.2
TRUE,TRUE,TRUE,5000,1.3,FALSE,TRUE,0.001,97.61952667,0.943257227,0.866134991,0.890190912,0.966827742,0.987679331,0.977126596,527.5,0.86,0.55,0.627380952,3.3,0.998259175,0.998837209,0.998543964,171.7,0.999261983,0.998152248,0.998704726,270.6,0.837368373,0.691265306,0.755429406,49.9,0.997826087,0.97087585,0.983959829,48.2
FALSE,FALSE,FALSE,1000,1.1,FALSE,FALSE,0.001,97.52613856,0.927774549,0.872324111,0.889379985,0.970445408,0.982753292,0.976535966,527.5,0.798333333,0.566666667,0.62452381,3.3,0.994248943,0.998833809,0.996523269,171.7,1,0.999260626,0.999629628,270.6,0.812052824,0.711387755,0.75595876,49.9,0.991566785,0.975042517,0.983108476,48.2
FALSE,FALSE,FALSE,1000,1.1,TRUE,FALSE,0.001,97.84355533,0.9411756,0.876135852,0.896204732,0.970273098,0.98862666,0.979349763,527.5,0.826666667,0.575,0.633095238,3.3,0.998826969,0.997664219,0.998243894,171.7,0.999264706,0.999260626,0.999260625,270.6,0.85419607,0.725387755,0.78327353,49.9,0.997826087,0.97087585,0.984005345,48.2
FALSE,FALSE,FALSE,1000,1.1,FALSE,TRUE,0.001,97.73152793,0.933562658,0.883510324,0.901033415,0.970411584,0.987488859,0.978862504,527.5,0.801666667,0.633333333,0.679047619,3.3,0.997112684,0.997082823,0.997087796,171.7,0.999630996,0.998891622,0.999259943,270.6,0.836722491,0.715387755,0.769997758,49.9,0.995831524,0.968877551,0.981944874,48.2
FALSE,FALSE,FALSE,1000,1.2,FALSE,FALSE,0.001,97.46083135,0.922351031,0.888458807,0.897340948,0.970975148,0.980852524,0.97586064,527.5,0.79,0.666666667,0.684761905,3.3,0.996544889,0.999418605,0.997970956,171.7,1,0.999260626,0.999629628,270.6,0.786754623,0.707428571,0.742604586,49.9,0.989831524,0.97712585,0.983217971,48.2
FALSE,FALSE,FALSE,1000,1.2,TRUE,FALSE,0.001,97.63821822,0.934491531,0.875663797,0.896531205,0.969312518,0.986541171,0.977837908,527.5,0.825,0.6,0.667380952,3.3,0.998830409,0.998249014,0.998538864,171.7,0.999630996,0.999260626,0.999444785,270.6,0.820658985,0.705306122,0.757312375,49.9,0.99351628,0.96462585,0.978672348,48.2
FALSE,FALSE,FALSE,1000,1.2,FALSE,TRUE,0.001,97.66625556,0.945105907,0.867795314,0.89225716,0.970393511,0.986162383,0.978197356,527.5,0.891666667,0.541666667,0.637380952,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999261993,0.999260626,0.999259943,270.6,0.820142037,0.709387755,0.759220283,49.9,0.991483452,0.97087585,0.980937097,48.2
FALSE,FALSE,FALSE,1000,1.3,FALSE,FALSE,0.001,97.43280272,0.922898355,0.877021225,0.888961326,0.970243989,0.980852884,0.975481539,527.5,0.79,0.6,0.634761905,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999632353,0.999260626,0.999445466,270.6,0.787990968,0.705469388,0.741304324,49.9,0.991835034,0.97712585,0.984227393,48.2
FALSE,FALSE,FALSE,1000,1.3,TRUE,FALSE,0.001,97.66622072,0.935349891,0.876081357,0.897064078,0.969508631,0.986920677,0.97812133,527.5,0.825,0.6,0.667380952,3.3,0.998830409,0.998249014,0.998538864,171.7,0.999630996,0.999260626,0.999444785,270.6,0.823529699,0.705306122,0.758097834,49.9,0.995599613,0.966751701,0.9808007,48.2
FALSE,FALSE,FALSE,1000,1.3,FALSE,TRUE,0.001,97.61957893,0.941197556,0.86672532,0.889565215,0.970025613,0.985783236,0.977824077,527.5,0.875,0.541666667,0.627857143,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999261993,0.999260626,0.999259943,270.6,0.815900409,0.703346939,0.753995216,49.9,0.989309538,0.97087585,0.979907584,48.2
FALSE,FALSE,FALSE,5000,1.1,FALSE,FALSE,0.001,97.89956903,0.943399941,0.889179659,0.907366693,0.972597085,0.987299465,0.97987435,527.5,0.841666667,0.633333333,0.69047619,3.3,0.994248983,0.998833809,0.996523284,171.7,1,0.998890256,0.9994441,270.6,0.855970243,0.735428571,0.789465327,49.9,0.995916667,0.981292517,0.988416909,48.2
FALSE,FALSE,FALSE,5000,1.1,TRUE,FALSE,0.001,97.95559144,0.94684622,0.87744808,0.899804897,0.970883911,0.990333362,0.980487607,527.5,0.841666667,0.575,0.643809524,3.3,0.998826969,0.997664219,0.998243894,171.7,0.998901099,0.999260626,0.999077142,270.6,0.872839492,0.727387755,0.791035466,49.9,0.997959184,0.975042517,0.986175747,48.2
FALSE,FALSE,FALSE,5000,1.1,FALSE,TRUE,0.001,97.85291853,0.952104345,0.86551833,0.89425111,0.968919891,0.990901544,0.979768294,527.5,0.875,0.516666667,0.618095238,3.3,0.997096029,0.994753842,0.995906284,171.7,0.999261993,0.998522619,0.998890939,270.6,0.872348156,0.723387755,0.788796237,49.9,1,0.968877551,0.984049671,48.2
FALSE,FALSE,FALSE,5000,1.2,FALSE,FALSE,0.001,97.94633276,0.935322791,0.889024411,0.903836717,0.972793355,0.98824931,0.980445699,527.5,0.781666667,0.633333333,0.664285714,3.3,0.995385459,0.998833809,0.997098011,171.7,1,0.999260626,0.999629628,270.6,0.866218926,0.741510204,0.797444706,49.9,0.99587234,0.972959184,0.984116541,48.2
FALSE,FALSE,FALSE,5000,1.2,TRUE,FALSE,0.001,98.02095963,0.946561983,0.888624648,0.909370525,0.972121153,0.990143249,0.981035553,527.5,0.835,0.633333333,0.692380952,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.874363976,0.743510204,0.802028151,49.9,1,0.966666667,0.982791446,48.2
FALSE,FALSE,FALSE,5000,1.2,FALSE,TRUE,0.001,97.95563499,0.948346526,0.879082565,0.902739027,0.970018272,0.991470444,0.98060546,527.5,0.835,0.6,0.662380952,3.3,0.997106349,0.998252414,0.997672679,171.7,0.999263349,0.999260626,0.999260623,270.6,0.888691186,0.735469388,0.802373827,49.9,1,0.950042517,0.974140617,48.2
FALSE,FALSE,FALSE,5000,1.3,FALSE,FALSE,0.001,97.87162751,0.931589801,0.886350882,0.900071767,0.97151178,0.988248951,0.979798761,527.5,0.766666667,0.633333333,0.653571429,3.3,0.996541528,0.998833809,0.997677721,171.7,1,0.999260626,0.999629628,270.6,0.858946488,0.725469388,0.78563652,49.9,0.99587234,0.972959184,0.984116541,48.2
FALSE,FALSE,FALSE,5000,1.3,TRUE,FALSE,0.001,97.96494593,0.944781974,0.888133367,0.908310117,0.971919622,0.989195561,0.980464857,527.5,0.835,0.633333333,0.692380952,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.863885453,0.741510204,0.796236401,49.9,1,0.966666667,0.982791446,48.2
FALSE,FALSE,FALSE,5000,1.3,FALSE,TRUE,0.001,97.94630663,0.94657495,0.880567803,0.902757723,0.970156234,0.991091297,0.980504119,527.5,0.835,0.608333333,0.665714286,3.3,0.998255775,0.998833809,0.998542259,171.7,0.999630996,0.999260626,0.999444785,270.6,0.878490027,0.725428571,0.793690199,49.9,0.997916667,0.960459184,0.97865069,48.2
FALSE,FALSE,TRUE,1000,1.1,FALSE,FALSE,0.001,97.67551424,0.930966702,0.876347328,0.892261861,0.972503301,0.983888577,0.978139833,527.5,0.8,0.566666667,0.620238095,3.3,0.994245583,0.998249014,0.996230033,171.7,0.998537462,0.998890256,0.998709479,270.6,0.826723156,0.735346939,0.776116078,49.9,0.993790708,0.975042517,0.984137645,48.2
FALSE,FALSE,TRUE,1000,1.1,TRUE,FALSE,0.001,97.91829543,0.940158743,0.88434104,0.90157,0.972264323,0.988439423,0.980266718,527.5,0.816666667,0.608333333,0.654761905,3.3,0.998248935,0.997664219,0.997954039,171.7,0.998901099,0.999260626,0.999077142,270.6,0.854871438,0.739346939,0.791226963,49.9,1,0.973001701,0.98613323,48.2
FALSE,FALSE,TRUE,1000,1.1,FALSE,TRUE,0.001,97.84357275,0.934760317,0.880738132,0.897605525,0.971521175,0.988438704,0.979897945,527.5,0.791666667,0.6,0.640714286,3.3,0.997099509,0.997082823,0.997084459,171.7,0.99962963,0.998890256,0.999259258,270.6,0.848644921,0.735306122,0.786889855,49.9,1,0.964710884,0.981787347,48.2
FALSE,FALSE,TRUE,1000,1.2,FALSE,FALSE,0.001,97.55421074,0.91031835,0.887623482,0.893726589,0.971552747,0.982750058,0.977104793,527.5,0.706666667,0.658333333,0.655714286,3.3,0.997687784,0.999418605,0.99854733,171.7,1,0.998890256,0.9994441,270.6,0.800462194,0.711306122,0.751512897,49.9,0.985540708,0.975042517,0.980036132,48.2
FALSE,FALSE,TRUE,1000,1.2,TRUE,FALSE,0.001,97.78755905,0.944219355,0.878302332,0.90201738,0.970253597,0.988248232,0.979156708,527.5,0.858333333,0.6,0.680714286,3.3,0.998252375,0.998249014,0.998249009,171.7,0.999630996,0.999260626,0.999444785,270.6,0.845287033,0.717346939,0.7747713,49.9,0.993558797,0.966709184,0.979768189,48.2
